Nama;Address;Type;Class;District;Province;Hospital
RSUD Amanah Husada;Jl. Batulicin - Serongga Km.3.5 kec.Simpang Empat Kab.Tanah Bumbu;A;D;Tanah Bumbu;Kalimantan Selatan;rs
RSUD Ulin Banjarmasin;Jl. Jen A Yani No.43, Banjarmasin;A;B;Banjarmasin;Kalimantan Selatan;rs
Rumkit Tk.III Dr. R.Soeharsono.;Jl. M.Soetoyo S 408 Banjarmasin;A;3;Banjarmasin;Kalimantan Selatan;rs
RSUD Dr.H.Moch.Ansari Saleh;Jl. Brig Jend H Hasan Basry No.1,Banjarmasin;A;B;Banjarmasin;Kalimantan Selatan;rs
RS TNI-Au Tk.IV Syamsudin Noor;Jl. Hercules No. 17 Banjarmasin;A;4;Banjarmasin;Kalimantan Selatan;rs
Rumkit Bhayangkara Banjarmasin;Jl. A. Yani Km.3,5 Banjarmasin;A;4;Banjarmasin;Kalimantan Selatan;rs
RSUD Banjarbaru;Jl. Palang Merah 2 Banjarbaru;A;C;Kota Banjar Baru;Kalimantan Selatan;rs
RSIA Fatima Ketapang;Jl. Jend Sudirman No.27, Ketapang;O;D;Ketapang;Kalimantan Barat;rs
RSUD Kab.Sekadau;Sekadau,Kalbar;A;D;Sekadau;Kalimantan Barat;rs
RSUD Melawi;Jl. Rawat Inap Nanga Pinoh,Kab.Melawi-Kalbar;A;D;Melawi;Kalimantan Barat;rs
RS Dam XII Ponianak;Jl. Jen Sudirman No. 1 Pontianak;A;3;Kota Pontianak;Kalimantan Barat;rs
RS Jiwa Pontianak;Jl. Ali Anyang No. 1 Pontianak;B;A;Kota Pontianak;Kalimantan Barat;rs
RSI Yarsi Pontianak;Jl. Tanjung Raya II Pontianak;A;C;Kota Pontianak;Kalimantan Barat;rs
Rumkit Lanud Supadio;Jl. Raya Kuala Dua, Pontianak;A;4;Kota Pontianak;Kalimantan Barat;rs
RS Bethesda Serukam;Serukam Samalantan Bengkayang, Sambas;A;C;Sambas;Kalimantan Barat;rs
RSU Ade Moehamad Djoen Sintang;Jl. Patimura Sintang;A;C;Sintang;Kalimantan Barat;rs
Rumkit TK.IV Singkawang;Jl. Perwira No.W 15 Singkawang;RS TNI;D;Sambas;Kalimantan Barat;rs
RSUD Dr Achmad Diponegoro;Jl. Yos Sudarso 42 Puttussibau;A;C;Kapuas Hulu;Kalimantan Barat;rs
RS Bersalin Jeumpa;-;RSB;D;Pontianak;Kalimantan Barat;rs
RSU Dr Sudarso PTK;Jl. Adisucipto Pontianak;A;B;Kota Pontianak;Kalimantan Barat;rs
RSU St.Antonius;Jl. KHW. Hasyim No.249, Pontianak;A;B;Kota Pontianak;Kalimantan Barat;rs
Rumkit Bhayangkara Pontianak;Jl. K.S. Tubun 14, Pontianak;A;4;Pontianak;Kalimantan Barat;rs
RSUD Dr Abdul Aziz;Jl. Dr Sotomo No. 28, Singkawang;A;B;Sambas;Kalimantan Barat;rs
RSU Sambas;Jl. Gusti Hamzah No. 87 Sambas;A;C;Sambas;Kalimantan Barat;rs
RS Jiwa Singkawang;Jl. Raya Singkawang Singkawang;B;B;Sambas;Kalimantan Barat;rs
RS PTPN XIII D Salak;Danau Salak Martapura Kalsel;A;D;Banjar;Kalimantan Selatan;rs
RSIA Anugerah Medical Center;Jl. Kunang 15 Kauman, Metro;RSIA;C;Lampung Barat;Lampung;rs
RS Jiwa Bandar Lampung;Jl. Raya Gd.Tataan,Bandar Lampung;B;B;Kota Bandar Lampung;Lampung;rs
RSU Bumi Waras;Jl. W. Monginsidi No.235,Bandar Lampung;A;Madya;Kota Bandar Lampung;Lampung;rs
RSU Liwa;Jl. Teuku Umar 3,Lampung Barat;A;C;Lampung Barat;Lampung;rs
RSU Dr H Abdul Moeloek;Jl. Dr. Rivai 6,Penengahan B.Lampung;A;B;Lampung Barat;Lampung;rs
RS Kusta Dr. Rivai Abdullah;Jl. Dr. Rivai Abdullah - Mariana Banyuasin I;G;B;Lampung;Sumatera Selatan;rs
RSUD Dr. Muhammad Zein Painan;Jl. Dr A Rivai Painan;A;C;Pesisir Selatan;Sumatera Barat;rs
RSU Pringsewu;Jl. Kesehatan No.1360,Pringsewu;A;C;Lampung Selatan;Lampung;rs
RSUD Sukadana;Jl. Adnan Sanjaya,Lintas Timur,Sukadana,Lamp.Timur;A;C;Lampung Timur;Lampung;rs
RSU May Jen HM Ryacudu;Jl. Jen.Sudirman No.2,Kotabumi;A;C;Lampung Utara;Lampung;rs
RSUD Zainal Abidin Pagar Alam;Jl. Raya Lintas Sumatera,Blambangan Umpu;A;C;Way Kanan;Lampung;rs
RSUD Menggala Tulang Bawang;Menggala,Kab.Tulang Bawang;A;D;Tulang Bawang;Lampung;rs
Rumkit Tk IV Bandara Lampung;Jl. Dr. A.Rivai No.7, Bandar Lampung;A;4;Bandar Lampung;Lampung;rs
Rumkit Bhayangkara Lampung;Jl. Pramuka No.88 Rajabasa Bandar Lampung;A;4;Bandar Lampung;Lampung;rs
RSUD Ahmad Yani,Metro;Jl. Jend.A.Yani No.13,Metro;A;B;Metro;Lampung;rs
RSUD Demang Sepulau Raya;Jl. Raya Lintas Sumatera Kampung Terbanggi Agung Kec.Gunung Sugih Kab.Lampung T More ...;A;C;Lampung Tengah;Lampung;rs
RSUD Dabo;Jl. Kesehatan No.1, Dabo Singkep;A;D;Lingga;Kepulauan Riau;rs
RSUD Natuna;Jl. H.Ali Murtopo,Natuna;A;C;Natuna;Kepulauan Riau;rs
RS AL Dr Midiyato S;Jl. Ciptadi No.1,Tanjung Pinang;A;3;Tanjung Pinang;Kepulauan Riau;rs
RS Lanu Ranai;Natuna Kab.Kepulauan Riau;A;4;Tanjung Pinang;Kepulauan Riau;rs
RSU Daerah Kota Batam;Jl. Bringjen Katamso;A;C;Tanjung Pinang;Kepulauan Riau;rs
RSIA Panti Secanti;Jl. Raya Gisting,Tanggamus;Swasta;Umum;Tanggamus;Lampung;rs
RSUD Kalianda;Jl. Lettu Rohani 14 B,Kalianda;A;C;Lampung Selatan;Lampung;rs
RSU Kolaka;Jl. W R Supratman No. 20 Kolaka;A;C;Kolaka;Sulawesi Tenggara;rs
RS Antam Nikel Pomalaa;Jl. R.Suprapto Pomalaa Kab.Kolaka;A;BUMN;Kolaka;Sulawesi Tenggara;rs
